연번,시점,종점,연장(Km),허용구분,허용시간(상시),허용일자
1,한화생명 대전지점 (중구 중앙로 116),목척교,1.4,양측,"10:00 ~ 17:00 (1회, 15분이내)",2009-12-17
2,유안타증권 (중구 대종로 540),대종로4가,0.6,양측,"10:00 ~ 17:00 (1회, 15분이내)",2009-12-17
3,오룡역4가,서대전4가,1.6,양측,"10:00 ~ 17:00 (1회, 15분이내)",2009-12-17
4,한국병원 (동구 동서대로 1672) ,반도주유소(동구 동서대로 1704),0.4,편측,"10:00 ~ 17:00 (1회, 15분이내)",2009-12-17
5,가장4가,맑은아침아파트 119동 앞 (서구 갈마로 262),0.4,양측,"10:00 ~ 17:00 (1회, 15분이내)",2009-12-17
6,유등교,도마4가,0.2,편측,"10:00 ~ 17:00 (1회, 15분이내)",2009-12-17
7,우성빌딩 (대덕구 한밭대로 1027),오정시장 정문,0.4,편측,"10:00 ~ 17:00 (1회, 15분이내)",2009-12-17
8,신탄진4가,신탄진역,0.5,양측,"10:00 ~ 17:00 (1회, 15분이내)",2009-12-17
9,유성푸르지오시티주상복합 (유성구 온천로 45),엔제리너스 충남대점 (유성구 대학로 84),0.6,편측,"10:00 ~ 17:00 (1회, 15분이내)",2009-12-17
10,크로바4가,한가람4가,0.9,양측,"10:00 ~ 17:00 (1회, 15분이내)",2009-12-17
11,테크노3로77,마포숫불,0.26,양측,"09:00~18:00 (1회, 15분이내)",2015-06-16
12,테크노2로327,명성공업주변,1.2,양측,"09:00~18:00 (1회, 15분이내)",2015-06-16
13,테크노10로44-19 ㈜한야주변,㈜나노시스 주변,1,양측,"09:00~18:00 (1회, 15분이내)",2015-06-16
14,테크노2로37 (배재대 대덕밸리 켐퍼스주변),테크노3로77,1.64,양측,"09:00~18:00 (1회, 15분이내)",2015-06-16
15,테크노3로 테크노밸리 네거리주변,관들4길71,1.2,양측,"09:00~18:00 (1회, 15분이내)",2015-06-16
16,문화로46번길,문성초교 동측편,0.12,편측,"09:00~18:00 (1회, 15분이내)",2015-07-23
17,보문산로161번길 주공1단지@ 동측 도로,108동∼오현유치원,0.32,양측,"09:00~18:00 (1회, 15분이내)",2015-07-23
18,산성로 문화동 주공2단지@ 동측도로,문화주공2∼3단지208동∼202동,0.32,양측,"09:00~18:00 (1회, 15분이내)",2015-07-23
19,안영로 (가마솥곰탕),청원골식당,0.9,양측,"09:00~18:00 (1회, 15분이내)",2015-07-23
20,어덕마을로 (하나할인마트),현대셀프,0.16,양측,"09:00~18:00 (1회, 15분이내)",2015-07-23
21,오류로 (금호타이어),오류기사식당,0.36,양측,"09:00~18:00 (1회, 15분이내)",2015-07-23
22,태평로 (소국밥),88셀프세차,0.32,양측,"09:00~18:00 (1회, 15분이내)",2015-07-23
23,계족로 240 가구공장,계족로 264 경이네식당,0.23,편측,09:00~18:00(15분이내),2015-10-22
24,청사서로 백합네거리,아랫둔지미네거리,0.23,편측,"09:00~18:00 (1회, 15분이내)",2015-10-22
25,만년로67번길 36 디지털타운,둔산대로117번길 95 리더스타운,0.14,편측,"09:00~18:00 (1회, 15분이내)",2015-10-22
26,만년로 70 베스타,만년로 82 오발탄,0.28,양측,"09:00~18:00 (1회, 15분이내)",2015-10-22
27,어은로 44 도미노피자,어은로 56 춘하추동한의원,0.12,편측,"09:00~18:00 (1회, 15분이내)",2015-10-22
28,궁동네거리,구암교네거리,1.6,양측,"09:00~18:00 (1회, 15분이내)",2015-10-22
29,대덕우체국네거리,문평동로72번길 접속부,0.67,편측,"09:00~18:00 (1회, 15분이내)",2015-10-22
30,갈마역로 25,갈마역로 11,0.23,양측,"09:00~18:00 (1회, 15분이내)",2015-10-22
31,유천로 43 동창모터스,유천로 7 해물칼국수,0.33,양측,"09:00~18:00 (1회, 15분이내)",2019-02-27
32,갈마로 246 내동지구대,갈마로 262 맑은아침@ 입구,0.135,편측,"09:00~18:00 (1회, 15분이내)",2019-06-20
